# Copyright (C) 1991-2015 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus II 64-Bit Version 15.0.0 Build 145 04/22/2015 SJ Web Edition
# File: C:\Courses\Cpen 391\Systems - ARM and NIOS\DE1\ARM_DE1Soc\verilog\DE1_SoC_Computer.csv
# Generated on: Wed Nov 23 11:19:29 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
HEX3[4],Output,PIN_AB28,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[3],Output,PIN_AC25,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[2],Output,PIN_AD25,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[1],Output,PIN_AC27,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[0],Output,PIN_AD26,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[6],Output,PIN_W25,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[5],Output,PIN_V23,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[4],Output,PIN_W24,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[3],Output,PIN_W22,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[2],Output,PIN_Y24,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[1],Output,PIN_Y23,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[0],Output,PIN_AA24,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[6],Output,PIN_AA25,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[5],Output,PIN_AA26,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[4],Output,PIN_AB26,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[3],Output,PIN_AB27,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[2],Output,PIN_Y27,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[1],Output,PIN_AA28,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[0],Output,PIN_V25,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HPS_CONV_USB_N,Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_DDR3_ADDR[14],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[13],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[12],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[11],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[10],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[9],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[8],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[7],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[6],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[5],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[4],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[3],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[2],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[1],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[0],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_BA[2],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_BA[1],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_BA[0],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_CAS_N,Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_CK_N,Output,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_P,,,,,,,,,
HPS_DDR3_CK_P,Output,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_N,,,,,,,,,
HPS_DDR3_CKE,Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_CS_N,Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_DM[3],Output,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[2],Output,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[1],Output,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[0],Output,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[31],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[30],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[29],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[28],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[27],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[26],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[25],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[24],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[23],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[22],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[21],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[20],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[19],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[18],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[17],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[16],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[15],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[14],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[13],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[12],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[11],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[10],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[9],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[8],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[7],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[6],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[5],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[4],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[3],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[2],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[1],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[0],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQS_N[3],Bidir,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[3],,,,,,,,,
HPS_DDR3_DQS_N[2],Bidir,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[2],,,,,,,,,
HPS_DDR3_DQS_N[1],Bidir,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[1],,,,,,,,,
HPS_DDR3_DQS_N[0],Bidir,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[0],,,,,,,,,
HPS_DDR3_DQS_P[3],Bidir,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[3],,,,,,,,,
HPS_DDR3_DQS_P[2],Bidir,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[2],,,,,,,,,
HPS_DDR3_DQS_P[1],Bidir,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[1],,,,,,,,,
HPS_DDR3_DQS_P[0],Bidir,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[0],,,,,,,,,
HPS_DDR3_ODT,Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_RAS_N,Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_RESET_N,Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_RZQ,Input,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_WE_N,Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_ENET_GTX_CLK,Output,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_INT_N,Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_MDC,Output,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_MDIO,Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_CLK,Input,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[3],Input,,,,3.3-V LVTTL,,,,,,,,,,,,,
